Time-Year,Time-Date,Ticker,AAPL,CDW,CTRX,FB,GOOG,GOOGL,INTC,MSFT,MU,QCOM,STX,TECD,TXN,WDC
2013,2013-05-07,,73.44,,133.28,70.34,,135.57,90.11,108.85,131.36,96.75,171.62,89.84,117.96,150.73
2013,2013-05-08,,74.28,,133.92,70.94,,138.16,90.47,107.82,134.91,96.97,171.62,91.41,118.09,151.21
2013,2013-05-09,,73.63,,131.06,70.73,,137.82,90.90,106.72,141.11,96.96,163.55,90.79,117.86,147.80
2013,2013-05-10,,73.02,,131.98,69.79,,139.21,91.41,106.83,142.56,97.76,164.23,91.30,117.96,149.82
2013,2013-05-13,,73.30,,130.83,70.15,,138.78,89.84,107.92,140.45,98.04,164.83,90.25,116.36,148.37
2013,2013-05-14,,71.55,,134.56,70.81,,140.29,88.94,110.33,140.32,98.79,167.22,90.04,116.26,151.71
2013,2013-05-15,,69.12,,135.99,69.58,,144.84,90.27,111.39,143.21,99.12,166.24,91.67,117.23,152.65
2013,2013-05-16,,70.05,,133.79,68.35,,142.94,89.33,112.14,145.72,99.28,166.15,91.09,116.53,151.31
2013,2013-05-17,,69.84,,130.22,68.66,,143.78,89.68,114.75,149.01,100.74,169.74,91.22,117.09,154.91
2013,2013-05-20,,71.40,,127.48,67.38,,143.68,89.84,115.44,147.69,99.97,167.99,92.42,116.63,152.33
2013,2013-05-21,,70.87,,128.68,67.12,,143.43,90.11,114.68,147.96,99.45,169.96,93.19,116.53,155.59
2013,2013-05-22,,71.14,,124.06,65.81,,140.66,89.80,113.89,143.87,98.65,172.61,91.28,114.67,154.77
2013,2013-05-23,,71.27,,122.76,65.55,,139.61,89.72,112.38,150.07,96.66,175.98,92.53,114.60,159.52
2013,2013-05-24,,71.75,,122.40,63.59,,138.11,89.25,112.76,152.70,97.19,175.43,92.98,114.60,159.63
2013,2013-05-28,,71.15,,122.27,63.04,,139.37,89.84,115.23,155.20,96.91,176.45,92.77,115.27,161.07
2013,2013-05-29,,71.73,,121.46,61.00,,137.32,90.55,114.79,155.86,96.96,179.15,93.47,114.94,163.30
2013,2013-05-30,,72.79,,123.55,64.22,,137.71,90.31,115.27,156.65,97.07,178.76,93.92,116.13,163.46
2013,2013-05-31,,72.50,,125.72,63.69,,137.78,90.58,114.85,153.89,96.01,176.37,93.82,114.34,162.25
2013,2013-06-03,,72.65,,122.86,62.39,,137.21,94.15,117.12,154.55,96.16,179.96,93.69,114.74,163.48
2013,2013-06-04,,72.43,,123.27,61.52,,135.86,94.63,115.13,154.28,96.89,183.16,92.89,116.66,162.51
2013,2013-06-05,,71.75,,122.53,59.90,,135.96,92.15,114.44,158.37,96.05,178.85,92.10,114.21,160.94
2013,2013-06-06,,70.68,,123.47,60.08,,136.74,91.96,115.06,162.71,95.76,180.60,92.70,113.57,163.64
2013,2013-06-07,,71.21,,128.45,60.92,,139.13,91.72,117.39,166.67,94.45,180.17,93.07,115.20,164.38
2013,2013-06-10,,70.75,,124.29,63.64,,140.79,93.29,116.74,170.62,94.34,180.00,92.98,116.59,165.56
2013,2013-06-11,,70.54,,137.91,62.86,,139.14,92.19,114.65,168.77,93.77,179.87,92.19,112.28,165.37
2013,2013-06-12,,69.66,,137.55,62.18,,137.90,91.25,115.16,164.56,92.94,178.38,92.06,110.79,163.75
2013,2013-06-13,,70.27,,140.26,62.07,,138.69,93.21,114.27,170.09,94.23,180.04,93.02,112.98,164.66
2013,2013-06-14,,69.32,,137.06,61.81,,138.38,92.98,113.21,168.12,93.35,178.97,91.97,112.98,163.67
2013,2013-06-17,,69.64,,136.73,62.83,,140.16,93.64,115.16,174.44,94.40,180.17,91.88,113.94,165.66
2013,2013-06-18,,69.60,,134.97,63.33,,142.43,95.02,115.09,181.16,94.87,184.19,92.16,115.00,165.71
2013,2013-06-19,,68.18,,133.67,63.59,,142.44,93.25,113.83,184.06,94.15,181.67,91.05,113.71,162.88
2013,2013-06-20,,67.19,,128.74,62.52,,139.92,90.23,110.22,178.39,92.64,175.38,88.75,110.26,157.56
2013,2013-06-21,,66.65,,127.66,64.16,,139.32,90.27,109.47,183.14,92.26,172.95,87.93,111.28,154.22
2013,2013-06-24,,64.89,,125.29,62.62,,137.55,87.96,110.98,177.34,91.07,168.76,86.28,108.86,150.00
2013,2013-06-25,,64.90,,126.13,63.43,,136.98,89.09,110.81,181.16,94.01,173.55,87.06,111.52,153.88
2013,2013-06-26,,64.17,,127.61,63.20,,138.16,89.56,113.04,186.82,93.17,174.79,87.03,111.32,156.22
2013,2013-06-27,,63.48,100.00,126.79,64.50,,138.70,89.72,113.93,188.93,92.89,182.95,88.84,110.99,161.12
2013,2013-06-28,,63.92,101.37,124.55,65.08,,139.23,90.39,113.65,188.80,92.91,183.50,88.15,110.99,159.76
2013,2013-07-01,,65.96,99.84,121.84,64.90,,140.41,89.13,113.07,188.01,92.70,186.15,88.96,111.58,162.25
2013,2013-07-02,,67.46,104.67,122.63,63.85,,139.53,88.51,111.70,188.54,92.64,185.13,88.96,111.85,162.57
2013,2013-07-03,,67.83,103.90,120.84,64.14,,140.19,88.66,111.90,186.30,92.64,184.62,89.05,112.94,162.64
2013,2013-07-05,,67.28,104.67,121.02,63.75,,141.30,89.76,112.59,188.54,92.69,187.14,91.11,114.64,165.98
2013,2013-07-08,,66.91,104.72,124.32,64.64,,143.14,86.50,112.97,184.85,91.23,186.07,90.02,113.64,167.81
2013,2013-07-09,,68.07,106.15,122.27,66.65,,143.16,86.35,113.04,173.12,90.32,187.18,90.38,115.40,170.33
2013,2013-07-10,,67.82,104.01,120.84,67.49,,143.28,86.74,114.20,165.35,91.92,187.61,90.83,116.53,172.98
2013,2013-07-11,,68.88,106.59,124.52,67.51,,145.53,89.49,117.46,167.33,93.22,189.57,92.79,118.35,172.46
2013,2013-07-12,,68.75,106.21,125.77,67.77,,145.97,89.17,117.39,167.19,94.32,191.07,93.49,119.38,174.61
2013,2013-07-15,,68.90,106.48,127.23,68.74,,146.24,89.33,119.04,172.20,93.19,191.20,92.19,120.35,175.58
2013,2013-07-16,,69.35,109.45,126.16,68.85,,145.43,90.47,119.35,176.28,94.07,190.60,91.52,120.44,174.69
2013,2013-07-17,,69.36,110.93,126.00,69.71,,145.26,90.11,117.60,179.05,95.28,191.11,91.35,120.68,176.39
2013,2013-07-18,,69.59,113.40,129.76,68.48,,144.02,86.70,116.64,180.37,92.95,192.01,92.59,119.71,179.22
2013,2013-07-19,,68.49,113.45,129.27,67.70,,141.79,85.96,103.33,180.90,93.47,194.53,93.04,118.65,179.56
2013,2013-07-22,,68.72,110.76,130.42,68.14,,144.02,84.94,105.35,182.21,94.62,191.67,94.65,119.15,180.35
2013,2013-07-23,,67.54,110.10,130.37,68.35,,142.93,84.86,104.70,179.71,94.74,185.47,94.85,123.96,174.53
2013,2013-07-24,,71.00,111.97,131.14,69.34,,142.79,85.56,105.18,172.73,93.36,180.90,95.36,123.96,173.77
2013,2013-07-25,,70.69,119.66,133.41,89.88,,140.38,86.03,103.29,175.10,96.45,173.25,97.08,124.99,163.46
2013,2013-07-26,,71.08,117.52,132.18,88.96,,140.02,86.78,104.05,165.88,98.26,168.03,95.25,124.53,161.15
2013,2013-07-29,,72.18,118.12,130.88,92.68,,139.53,86.70,103.81,164.30,97.69,164.96,93.58,123.76,161.07
2013,2013-07-30,,73.07,117.57,131.80,98.43,,140.90,87.21,104.80,166.01,98.10,168.85,94.48,124.33,167.47
2013,2013-07-31,,72.94,117.08,134.87,96.26,,140.39,87.09,104.77,174.44,98.18,167.48,96.22,125.66,165.66
2013,2013-08-01,,73.61,117.90,145.67,98.06,,143.00,86.54,104.22,178.79,99.26,171.07,98.93,127.71,170.96
2013,2013-08-02,,74.56,122.13,148.74,99.53,,143.37,86.62,104.94,177.87,101.52,168.25,98.95,128.11,167.65
2013,2013-08-05,,75.67,124.05,148.30,102.51,,143.12,86.35,104.32,186.69,100.75,167.05,99.27,127.85,166.74
2013,2013-08-06,,74.99,124.16,148.97,100.84,,141.79,85.88,103.91,186.30,99.75,166.50,98.15,127.41,165.84
2013,2013-08-07,,74.94,124.93,147.82,101.67,,140.85,85.52,105.49,181.95,99.17,165.64,97.66,127.18,163.69
2013,2013-08-08,,74.80,125.59,148.76,100.81,,141.17,84.58,108.23,183.79,100.91,169.02,98.28,127.18,171.67
2013,2013-08-09,,73.73,125.48,147.28,100.71,,140.81,84.82,107.62,184.32,100.78,168.80,97.62,127.58,173.69
2013,2013-08-12,,75.83,126.08,146.16,99.97,,140.04,85.29,108.16,182.21,101.07,170.81,98.82,127.35,175.39
2013,2013-08-13,,79.44,127.40,146.97,96.83,,139.37,84.86,106.79,197.23,102.28,170.09,100.26,127.51,176.02
2013,2013-08-14,,80.88,127.18,145.42,95.87,,137.56,85.01,107.20,195.26,101.84,169.70,100.00,125.62,176.23
2013,2013-08-15,,80.79,125.21,142.20,95.63,,135.95,82.97,105.35,186.17,101.82,163.29,97.42,123.96,169.86
